title,domestic_gross,foreign_gross
Looper,66500000.0,110000000.0
Magic Mike,113700000.0,53500000.0
Flight,93800000.0,68000000.0
Underworld Awakening,62300000.0,97800000.0
This Means War,54800000.0,101700000.0
The Secret World of Arrietty,19200000.0,126400000.0
Paranormal Activity 4,53900000.0,88900000.0
Step Up Revolution,35100000.0,105400000.0
The Best Exotic Marigold Hotel,46400000.0,90400000.0
Zero Dark Thirty,95700000.0,37100000.0
Ghost Rider: Spirit of Vengeance,51800000.0,80800000.0
Cloud Atlas,27100000.0,103400000.0
The Woman in Black,54300000.0,73400000.0
Chronicle (2012),64599999.0,62100000.0
The Pirates! Band of Misfits,31100000.0,92000000.0
Parental Guidance,77300000.0,42500000.0
Abraham Lincoln: Vampire Hunter,37500000.0,79000000.0
Pitch Perfect,65000000.0,50300000.0
Hope Springs,63500000.0,50700000.0
ParaNorman,56000000.0,51100000.0
The Campaign,86900000.0,18000000.0
Let the Bullets Fly,63000.0,104300000.0
Star Wars: Episode I - The Phantom Menace (in 3D),43500000.0,59300000.0
Project X,54700000.0,48000000.0
The Devil Inside,53300000.0,48500000.0
The Lucky One,60500000.0,38900000.0
Contraband,66500000.0,29700000.0
Think Like a Man,91500000.0,4500000.0
This Is 40,67500000.0,20500000.0
The Inbetweeners Movie,36000.0,88000000.0
The Possession,49100000.0,36300000.0
What to Expect When You're Expecting,41200000.0,43200000.0
The Thieves,686000.0,82800000.0
Savages (2012),47400000.0,35600000.0
Frankenweenie,35300000.0,46200000.0
Act of Valor,70000000.0,11300000.0
Masquerade (2012),923000.0,79800000.0
Sinister,48100000.0,29600000.0
The Grey,51600000.0,25700000.0
Diary of a Wimpy Kid: Dog Days,49000000.0,28100000.0
