movie_id,genres,movie_id,averagerating,numvotes,ordering
tt3717104,"Biography,Comedy,Horror",tt3717104,6.6,18,1
tt1726727,"Biography,Comedy,Music",tt1726727,8.2,5,1
tt1795674,"Biography,Comedy,Romance",tt1795674,8.3,15,1
tt1997429,"Biography,Comedy,Sci-Fi",tt1997429,6.3,13,1
tt5963354,"Biography,Crime",tt5963354,3.8,64,1
tt1419769,"Biography,Crime,Documentary",tt1419769,7.9,69,1
tt0804463,"Biography,Crime,Drama",tt0804463,6.1,18716,1
tt2152082,"Biography,Crime,History",tt2152082,5.9,7,1
tt2938702,"Biography,Crime,Thriller",tt2938702,7.1,113,1
tt1091863,"Biography,Documentary",tt1091863,7.1,830,1
tt1339500,"Biography,Documentary,Drama",tt1339500,8.7,29,1
tt1507961,"Biography,Documentary,Family",tt1507961,8.5,14,1
tt1391092,"Biography,Documentary,Fantasy",tt1391092,7.6,3113,1
tt0481470,"Biography,Documentary,History",tt0481470,7.5,12,1
tt3135424,"Biography,Documentary,Horror",tt3135424,6.2,543,1
tt0756727,"Biography,Documentary,Music",tt0756727,7.7,1332,1
tt1784493,"Biography,Documentary,Musical",tt1784493,8.7,6,1
tt1568334,"Biography,Documentary,Mystery",tt1568334,7.8,4321,1
tt1617000,"Biography,Documentary,News",tt1617000,7.3,11,1
tt7128608,"Biography,Documentary,Reality-TV",tt7128608,3.6,10,1
tt1413493,"Biography,Documentary,Romance",tt1413493,6.1,470,1
tt1959529,"Biography,Documentary,Sci-Fi",tt1959529,8.3,10,1
tt1322313,"Biography,Documentary,Sport",tt1322313,6.9,1214,1
tt3640710,"Biography,Documentary,Thriller",tt3640710,7.0,1105,1
tt1622549,"Biography,Documentary,War",tt1622549,8.5,38,1
tt2277150,"Biography,Documentary,Western",tt2277150,6.8,44,1
tt0066787,"Biography,Drama",tt0066787,7.2,43,1
tt10052290,"Biography,Drama,Family",tt10052290,5.4,18,1
tt1072748,"Biography,Drama,Fantasy",tt1072748,5.4,24351,1
tt0420293,"Biography,Drama,History",tt0420293,6.9,32591,1
tt1705113,"Biography,Drama,Horror",tt1705113,5.9,764,1
tt0493076,"Biography,Drama,Music",tt0493076,5.3,2246,1
tt1485796,"Biography,Drama,Musical",tt1485796,7.6,199663,1
tt2664074,"Biography,Drama,Mystery",tt2664074,6.5,68,1
tt2183864,"Biography,Drama,News",tt2183864,5.7,7,1
tt0790663,"Biography,Drama,Romance",tt0790663,7.5,4052,1
tt0453562,"Biography,Drama,Sport",tt0453562,7.5,77703,1
tt0977855,"Biography,Drama,Thriller",tt0977855,6.8,43862,1
tt10443808,"Biography,Drama,War",tt10443808,8.8,12,1
tt4975920,"Biography,Drama,Western",tt4975920,6.0,1573,1
tt3543258,"Biography,Family",tt3543258,6.2,744,1
tt2750834,"Biography,Family,Fantasy",tt2750834,6.6,41,1
